Concept URI,Sprememba
http://data.europa.eu/esco/skill/3c5b51d9-52c4-4f38-9c1b-3cdebe38120f,  + Dodano: implement risk management in procurement
http://data.europa.eu/esco/skill/773e217c-8b21-4d8c-b384-68752a2243a9,  + Dodano: quantitative risk analysis techniques
http://data.europa.eu/esco/skill/9f506a34-88b8-4d63-bff9-57ab125e1b0c,  - Odstranjeno: enrich the key idea
http://data.europa.eu/esco/skill/0dd4d328-f015-463d-9a7e-06b7041f0b26,  + Dodano: consumer goods industry
http://data.europa.eu/esco/skill/5c526c52-4f0a-4647-8c51-c91568acebb1,  + Dodano: process spatial information
http://data.europa.eu/esco/skill/fba28975-4544-4d37-8971-9bd72534018c,  - Odstranjeno: attend to hygiene
http://data.europa.eu/esco/skill/7364cc39-b9c0-449f-9416-57723e2fd9c4,"  - Staro: utilise methodologies for user centered design
  + Novo: use methodologies for user-centered design"
http://data.europa.eu/esco/skill/f84a433f-34f1-4083-b0a3-24802623509c,  + Dodano: web services
http://data.europa.eu/esco/skill/c380714e-536c-4b51-b138-0f5f82c6d0b3,  + Dodano: plan the web forming techniques for non-woven
http://data.europa.eu/esco/skill/6c97d04d-7239-4dc7-90ef-3e812ba2b124,  + Dodano: perform procurement market analysis
http://data.europa.eu/esco/skill/c4180af3-befd-4bd8-9a65-6a496f9d9f15,  + Dodano: demonstrate awareness of health risks 
http://data.europa.eu/esco/skill/43961ba6-5a96-4975-bb83-f6da854ade03,"  - Odstranjeno: set health, hygiene, safety and security standards"
http://data.europa.eu/esco/skill/b34be26f-fea9-4e58-90d1-3f8d2176a803,  + Dodano: naval architecture
http://data.europa.eu/esco/skill/40cafbc8-07b8-432d-a9d3-f1cd7371af4b,  + Dodano: perform image guidance in radiation therapy 
http://data.europa.eu/esco/skill/f60b0a50-2e7b-46f8-9b9c-2809b10991f9,  - Odstranjeno: persist
http://data.europa.eu/esco/skill/373be061-01a2-421b-abf0-269ac36e847d,"  - Staro: perceive the context
  + Novo: perceive context when interpreting"
http://data.europa.eu/esco/skill/b00e948c-19be-4951-8cff-60f88f1046e9,"  - Staro: delegate activities
  + Novo: delegate responsibilities"
http://data.europa.eu/esco/skill/f9b7be6c-29a0-4021-980e-a0e3b0005205,  + Dodano: inspect wave energy converters
http://data.europa.eu/esco/skill/b16bcbcb-1d3f-42b3-a6a5-b91348a72b70,"  - Staro: Jboss
  + Novo: WildFly"
http://data.europa.eu/esco/skill/2913deed-2560-4c1b-872c-f83ae6c93021,  - Odstranjeno: use Yahoo! Search
http://data.europa.eu/esco/skill/c3c2420c-ce9a-4371-8eed-1db479c3a562,"  - Staro: write scientific papers
  + Novo: write scientific publications"
http://data.europa.eu/esco/skill/a933a46f-d4d8-4e96-a7f7-345725111bfa,"  - Staro: write stress analysis reports
  + Novo: write stress-strain analysis reports"
http://data.europa.eu/esco/skill/e8fe3df5-5608-4a03-88ff-9e45ef857de1,  - Odstranjeno: handle knives used in slaughtering processes
http://data.europa.eu/esco/skill/e2235528-49c7-40c3-b44e-c5962ec1af85,"  - Staro: assist landscape projects
  + Novo: implement landscaping projects"
http://data.europa.eu/esco/skill/574257ea-7b64-4100-b7b6-e27c233fe143,  + Dodano: digital communication and collaboration
http://data.europa.eu/esco/skill/6be7dc56-44ee-4c8d-bc0b-2f95bc5d6ffe,  + Dodano: undertake procedures to meet UAV flight requirements
http://data.europa.eu/esco/skill/affb720b-98e7-4ae6-b833-b12e94fa8987,  + Dodano: hydroponics
http://data.europa.eu/esco/skill/461ff70c-d675-4cae-aa10-24efbbc3a1ce,  - Odstranjeno: supervise crop production
http://data.europa.eu/esco/skill/668c3fd4-8443-4f27-bc1e-2d96205186b5,  + Dodano: blockchain application areas 
http://data.europa.eu/esco/skill/60efd7d3-eee4-4f7d-9373-66a54d13b3e0,  + Dodano: neuromarketing techniques
http://data.europa.eu/esco/skill/d128095a-9797-453b-af0a-daf6094e11ec,"  - Staro: condition of local roads
  + Novo: monitor condition of local roads"
http://data.europa.eu/esco/skill/e25a23f4-c956-4d04-88f0-116157fd0726,"  - Staro: work effectively with other animal-related organisations
  + Novo: work effectively with animal-related organisations"
http://data.europa.eu/esco/skill/01d269d9-b058-4d6c-82a0-3779af9a124b,  + Dodano: develop blockchain innovative architectures
http://data.europa.eu/esco/skill/80d3bfd0-5781-4c8e-a8d8-54146e22af21,  + Dodano: clinical social work
http://data.europa.eu/esco/skill/ef31d34e-039b-4cbb-a175-fdf6ffcae59c,"  - Staro: inspect rail from track inspection vehicle
  + Novo: inspect rail flaws"
http://data.europa.eu/esco/skill/cd50d616-1f8b-481e-983f-68d2674ff82d,  + Dodano: integrate gender dimension in research
http://data.europa.eu/esco/skill/9a58cd26-58eb-4a1c-b1b6-64037fe9cfa1,  + Dodano: think abstractly
http://data.europa.eu/esco/skill/c513cf4e-83bb-4edc-9ac8-2a7df04a9451,  + Dodano: results-based management
http://data.europa.eu/esco/skill/34bc01ed-dd78-49c7-bcfb-c17bb66688b5,  + Dodano: test power electronics
http://data.europa.eu/esco/skill/0b281f3a-7faa-456e-a837-b08544d013d6,"  - Staro: perform stacking fermentation of tobacco leaves
  + Novo: ferment stacks of tobacco leaves"
http://data.europa.eu/esco/skill/e5deced2-5636-4ff2-b9bc-dca6cbfc5f72,  + Dodano: design a combined heat and power system
http://data.europa.eu/esco/skill/882cb8bb-1538-4a77-818b-64c65697fe73,"  - Staro: maintain counterweight inside modes of transport
  + Novo: balance transportation cargo"
http://data.europa.eu/esco/skill/76c917e1-3792-46a8-b43b-d4e15e71dda4,"  - Staro: develop after-sales polices
  + Novo: develop aftersale policies"
http://data.europa.eu/esco/skill/ee2cf42a-0664-4b53-aaf9-f4fbe55bd37a,"  - Staro: continually survey meteorological conditions
  + Novo: forecast meteorological conditions"
http://data.europa.eu/esco/skill/e7f6dd61-5481-40c7-942c-a0b312216f11,  + Dodano: reduce business mobility costs
http://data.europa.eu/esco/skill/53780150-1581-4ae6-b435-34068c172caf,  + Dodano: Vyper
http://data.europa.eu/esco/skill/202c0a90-e45f-4b9a-8bd2-694adc0f90e4,  - Odstranjeno: set hygiene standards
http://data.europa.eu/esco/skill/4c72749b-c2c8-47b6-8330-5ebb22862314,  + Dodano: percolation
http://data.europa.eu/esco/skill/a550c4e9-5773-47a2-861d-e57ceb076eb6,"  - Staro: determine boundaries
  + Novo: determine property boundaries"
http://data.europa.eu/esco/skill/65227f84-5d33-44a4-ad4b-1e8571b415c0,"  - Staro: maintain operational standards
  + Novo: ensure gambling operational standards"
